"Cluster","Identity"
"0","Differentiated Thyrocytes"
"1","Macrophages/Monocytes"
"2","Malignant (Differentiated-like)"
"3","Endothelial Cells"
"4","Differentiated Thyrocytes"
"5","Regulatory T-cells (Tregs)"
"6","Pericytes"
"7","cDC (Conventional DC)"
"8","T-cells"
"9","B-cells"
"10","Fibroblasts (CAFs)"
"11","Mast Cells"
"12","Malignant (Mesenchymal/mATC)"
"13","Mast Cells"
"14","Macrophages/Monocytes"
"15","B-cells"
"16","Macrophages/Monocytes"
"17","Malignant (Differentiated-like)"
"18","NK-cells"
"19","B-cells"
"20","Endothelial Cells"
"21","Mast Cells"
"22","Pericytes"
"23","Differentiated Thyrocytes"
"24","Fibroblasts (CAFs)"
